arm,rep_number,min_angle,max_angle,rom,duration,trunk_absmax,elbow_drift_absmax,elbow_drift_mean,n_frames,video_id,participant_id
L,1,1.8557779788970947,160.29103088378906,158.4352569580078,1.8675260543823242,0.057203952223062515,0.07641279697418213,0.04217026010155678,57,benj_bicep,benj
L,2,2.849818468093872,158.08761596679688,155.23779296875,1.834177017211914,0.03992444649338722,0.09340723603963852,0.06321100145578384,56,benj_bicep,benj
L,3,6.61958122253418,159.70643615722656,153.08685302734375,1.7007827758789062,0.03894316405057907,0.09662731736898422,0.07056690007448196,52,benj_bicep,benj
L,4,3.8905246257781982,160.64617919921875,156.7556610107422,1.9008750915527344,0.03307038173079491,0.09571429342031479,0.068455770611763,58,benj_bicep,benj
L,5,0.256706178188324,161.1160125732422,160.85931396484375,1.9675731658935547,0.0345444418489933,0.10858871042728424,0.07848513126373291,60,benj_bicep,benj
L,6,0.19785170257091522,161.1367645263672,160.9389190673828,1.9342231750488281,0.03877617046236992,0.11002478003501892,0.07883752137422562,59,benj_bicep,benj
L,7,0.9469583630561829,160.671630859375,159.72467041015625,1.8341751098632812,0.03696600720286369,0.1052558496594429,0.08079792559146881,56,benj_bicep,benj
L,8,3.5114195346832275,158.73626708984375,155.224853515625,1.8341789245605469,0.04212398827075958,0.11936528980731964,0.0875561460852623,56,benj_bicep,benj
L,9,1.1113677024841309,157.5582275390625,156.4468536376953,1.8341789245605469,0.05482512339949608,0.07712802290916443,0.05964835360646248,56,benj_bicep,benj
L,10,0.9031009078025818,163.74095153808594,162.8378448486328,2.234363555908203,0.032747045159339905,0.11517027765512466,0.08908254653215408,68,benj_bicep,benj
L,1,0.4414006173610687,158.23960876464844,157.79820251464844,1.5007315874099731,0.07590451836585999,0.263135701417923,0.10745096206665039,46,jay_bicep,jay
L,2,1.016219139099121,164.0046844482422,162.98846435546875,1.3006339073181152,0.04960302263498306,0.17295870184898376,0.05613793805241585,40,jay_bicep,jay
L,3,1.9931739568710327,165.1383819580078,163.14520263671875,1.267284870147705,0.026885321363806725,0.157762348651886,0.04451962932944298,39,jay_bicep,jay
R,4,6.401097297668457,174.24713134765625,167.84603881835938,1.2339353561401367,0.040150951594114304,0.29113471508026123,0.12108144909143448,38,jay_bicep,jay
L,5,8.469667434692383,175.7902374267578,167.32057189941406,1.2672843933105469,0.07329215854406357,0.05234343186020851,0.017761515453457832,39,jay_bicep,jay
L,6,7.569696426391602,172.8142852783203,165.2445831298828,1.4340324401855469,0.028986269608139992,0.12372729182243347,0.02977568656206131,44,jay_bicep,jay
L,7,11.0171480178833,166.77503967285156,155.7578887939453,1.6341304779052734,0.041685160249471664,0.13588760793209076,0.028807383030653,50,jay_bicep,jay
L,8,5.395242214202881,158.73838806152344,153.3431396484375,1.4340324401855469,0.04138524830341339,0.12086781859397888,0.03565150499343872,44,jay_bicep,jay
R,9,7.513945579528809,156.19281005859375,148.67886352539062,1.1672344207763672,0.048104703426361084,0.2612592577934265,0.100855752825737,36,jay_bicep,jay
R,10,8.457691192626953,170.78038024902344,162.32269287109375,1.3673343658447266,0.044816937297582626,0.2449498325586319,0.12688249349594116,42,jay_bicep,jay
R,1,12.031783103942871,171.20851135253906,159.17672729492188,1.2672698497772217,5.936290264129639,43.25108337402344,3.064833641052246,39,jeff_bicep,jeff
R,2,7.147324562072754,162.8649444580078,155.71762084960938,1.033825397491455,0.22668157517910004,0.870526909828186,0.22392837703227997,31,jeff_bicep,jeff
L,3,13.189840316772461,165.0000457763672,151.81021118164062,1.1338729858398438,0.059674642980098724,0.25589719414711,0.21541720628738403,35,jeff_bicep,jeff
R,4,6.581959247589111,161.6843719482422,155.1024169921875,1.0004768371582031,0.07014020532369614,0.42236942052841187,0.2704330384731293,31,jeff_bicep,jeff
R,5,7.31818962097168,170.8091583251953,163.490966796875,1.0004768371582031,0.029269175603985786,0.29847076535224915,0.2230161875486374,31,jeff_bicep,jeff
R,6,8.544211387634277,164.97732543945312,156.43312072753906,0.9337778091430664,0.06197534501552582,0.2901313900947571,0.23227885365486145,29,jeff_bicep,jeff
