arm,rep_number,baseline,down_thr,up_thr,min_wrist_rel_y,max_wrist_rel_y,wrist_rel_range,duration,trunk_absmax,elbow_min,n_frames,video_id,participant_id
L,1,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4759167432785034,0.2880650460720062,1.763981819152832,2.167722702026367,0.05377635359764099,171.73011779785156,66,benj_latraise,benj
L,2,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4684042930603027,0.41699081659317017,1.8853950500488281,2.4345192909240723,0.0376334972679615,171.646240234375,74,benj_latraise,benj
L,3,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4671809673309326,0.3776179850101471,1.8447989225387573,1.8342266082763672,0.04516275227069855,172.7169952392578,56,benj_latraise,benj
L,4,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4670432806015015,0.3117102086544037,1.7787535190582275,2.1010236740112305,0.044983334839344025,172.01394653320312,64,benj_latraise,benj
L,5,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4678964614868164,0.49876800179481506,1.966664433479309,2.234421730041504,0.043873898684978485,172.67198181152344,68,benj_latraise,benj
L,6,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4778589010238647,0.42068397998809814,1.898542881011963,2.000974655151367,0.04218260943889618,173.1258087158203,61,benj_latraise,benj
L,7,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4672492742538452,0.33256006240844727,1.7998093366622925,1.8008766174316406,0.04372267425060272,174.18780517578125,55,benj_latraise,benj
L,8,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.4677797555923462,0.3981298506259918,1.8659095764160156,1.9342765808105469,0.05504200980067253,172.9894561767578,59,benj_latraise,benj
L,9,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.476698637008667,0.4500003755092621,1.9266990423202515,2.000974655151367,0.05001525208353996,171.25070190429688,61,benj_latraise,benj
L,10,-1.4862485593445607,-1.4662485593445607,-1.2162485593445607,-1.47010338306427,0.4304514229297638,1.9005547761917114,2.000974655151367,0.04991360008716583,170.58010864257812,61,benj_latraise,benj
R,1,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.2760118246078491,-0.11532143503427505,1.160690426826477,0.9004583358764648,0.03527061641216278,142.1639862060547,28,jay_latraise,jay
R,2,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.3106718063354492,0.003366336692124605,1.3140381574630737,1.100560188293457,0.019038720056414604,140.4107666015625,34,jay_latraise,jay
R,3,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.2794910669326782,-0.07305095344781876,1.2064400911331177,1.1339106559753418,0.023784182965755463,139.8939208984375,35,jay_latraise,jay
R,4,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.3352769613265991,0.03359299525618553,1.3688699007034302,1.2006111145019531,0.03610482066869736,139.31272888183594,37,jay_latraise,jay
R,5,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.3308764696121216,0.02886827103793621,1.3597447872161865,1.2673120498657227,0.029856987297534943,136.74337768554688,39,jay_latraise,jay
R,6,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.2828667163848877,0.028697846457362175,1.311564564704895,1.233962059020996,0.04859057068824768,142.0276641845703,38,jay_latraise,jay
R,7,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.276227355003357,0.027397075667977333,1.3036243915557861,1.2006111145019531,0.03213348612189293,144.04393005371094,37,jay_latraise,jay
R,8,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.2836575508117676,-0.03552240878343582,1.2481350898742676,1.3006620407104492,0.04802524298429489,134.3524169921875,40,jay_latraise,jay
R,9,-1.294736623494439,-1.274736623494439,-1.024736623494439,-1.2816864252090454,-0.03333055600523949,1.2483558654785156,1.2006111145019531,0.03717958182096481,137.9087371826172,37,jay_latraise,jay
L,10,-1.2678260083005595,-1.2478260083005595,-0.9978260083005595,-1.32135808467865,-0.001884362893179059,1.3194737434387207,1.1005592346191406,0.029906224459409714,145.2589111328125,34,jay_latraise,jay
R,1,-1.348603869580808,-1.328603869580808,-1.078603869580808,-1.3386403322219849,0.22219455242156982,1.5608348846435547,1.2339011430740356,0.028160836547613144,149.76048278808594,38,jeff_latraise,jeff
R,2,-1.348603869580808,-1.328603869580808,-1.078603869580808,-1.33273184299469,0.23016232252120972,1.5628941059112549,1.2005524635314941,0.02551988884806633,151.5273895263672,37,jeff_latraise,jeff
L,3,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3230758905410767,0.21067845821380615,1.5337543487548828,1.167203426361084,0.023169029504060745,157.04127502441406,36,jeff_latraise,jeff
L,4,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3378700017929077,0.18837444484233856,1.5262444019317627,1.167203426361084,0.03551714867353439,157.60440063476562,36,jeff_latraise,jeff
L,5,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3446440696716309,0.1896916627883911,1.534335732460022,1.233901023864746,0.056384023278951645,160.55123901367188,38,jeff_latraise,jeff
L,6,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3321657180786133,0.1758771538734436,1.508042812347412,1.1005067825317383,0.05504555255174637,160.89012145996094,34,jeff_latraise,jeff
L,7,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3548383712768555,0.22823475301265717,1.5830731391906738,1.1005067825317383,0.03235010430216789,161.98590087890625,34,jeff_latraise,jeff
L,8,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3547571897506714,0.25211358070373535,1.6068707704544067,1.1672029495239258,0.02908453159034252,159.79623413085938,36,jeff_latraise,jeff
R,9,-1.348603869580808,-1.328603869580808,-1.078603869580808,-1.37013840675354,0.255526065826416,1.625664472579956,1.200551986694336,0.10055795311927795,6.02522611618042,37,jeff_latraise,jeff
L,10,-1.338004749625249,-1.318004749625249,-1.068004749625249,-1.3460205793380737,0.1616932600736618,1.507713794708252,1.1005058288574219,0.030417198315262794,160.68405151367188,34,jeff_latraise,jeff
R,1,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.369499921798706,0.3084481954574585,1.6779481172561646,3.600752115249634,0.04369017481803894,157.81922912597656,109,renz_latraise,renz
R,2,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.3776193857192993,0.31534966826438904,1.6929690837860107,1.6670150756835938,0.0462818518280983,162.44529724121094,51,renz_latraise,renz
R,3,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.379433512687683,0.41294413805007935,1.7923777103424072,1.7670354843139648,0.031088754534721375,155.20286560058594,54,renz_latraise,renz
R,4,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.3607574701309204,0.3230077922344208,1.6837652921676636,1.7003545761108398,0.0358005054295063,161.8730010986328,52,renz_latraise,renz
R,5,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.4265636205673218,0.30918267369270325,1.7357462644577026,1.5003128051757812,0.04218451678752899,162.97706604003906,46,renz_latraise,renz
R,6,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.3970991373062134,0.32871928811073303,1.725818395614624,1.5003137588500977,0.03282811865210533,158.38351440429688,46,renz_latraise,renz
R,7,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.3597344160079956,0.32802915573120117,1.6877635717391968,1.4669742584228516,0.027850542217493057,160.1011505126953,45,renz_latraise,renz
R,8,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.376381278038025,0.3148307204246521,1.6912119388580322,1.5003128051757812,0.032395265996456146,160.85617065429688,46,renz_latraise,renz
R,9,-1.377656025413864,-1.3576560254138639,-1.1076560254138639,-1.3707407712936401,0.3793942928314209,1.750135064125061,1.7003555297851562,0.02686711587011814,157.02435302734375,52,renz_latraise,renz
