arm,rep_number,baseline,down_thr,up_thr,min_wrist_rel_y,max_wrist_rel_y,wrist_rel_range,duration,trunk_absmax,wrist_drift_absmax,wrist_drift_mean,n_frames,video_id,participant_id
R,1,0.36047996230502993,0.38047996230502995,0.73047996230503,0.3747921884059906,1.7868633270263672,1.4120711088180542,2.7013049125671387,0.062056414783000946,0.18307265639305115,0.0686429962515831,82,benj_shoulderpress,benj
R,2,0.36047996230502993,0.38047996230502995,0.73047996230503,0.374210923910141,1.8208345174789429,1.4466235637664795,3.0347986221313477,0.05142175406217575,0.13969793915748596,0.07380936294794083,92,benj_shoulderpress,benj
R,3,0.36047996230502993,0.38047996230502995,0.73047996230503,0.37862229347229004,1.8415510654449463,1.4629287719726562,2.834702491760254,0.07768459618091583,0.1914561539888382,0.10379019379615784,86,benj_shoulderpress,benj
R,4,0.36047996230502993,0.38047996230502995,0.73047996230503,0.37175288796424866,1.7837086915969849,1.4119558334350586,2.7680044174194336,0.05130191519856453,0.21151898801326752,0.1254279464483261,84,benj_shoulderpress,benj
R,5,0.36047996230502993,0.38047996230502995,0.73047996230503,0.369498610496521,1.8163409233093262,1.4468423128128052,2.8013534545898438,0.0484643317759037,0.203628271818161,0.10379132628440857,85,benj_shoulderpress,benj
R,6,0.36047996230502993,0.38047996230502995,0.73047996230503,0.379289448261261,1.8099138736724854,1.4306244850158691,2.60125732421875,0.053685516119003296,0.20310401916503906,0.09915550798177719,79,benj_shoulderpress,benj
R,7,0.36047996230502993,0.38047996230502995,0.73047996230503,0.3671914041042328,1.7368451356887817,1.3696537017822266,3.0014495849609375,0.05899761989712715,0.22415751218795776,0.1132654994726181,91,benj_shoulderpress,benj
R,8,0.36047996230502993,0.38047996230502995,0.73047996230503,0.3787388503551483,1.7705950736999512,1.3918561935424805,3.7684879302978516,0.05849936977028847,0.21095992624759674,0.09595545381307602,114,benj_shoulderpress,benj
R,9,0.36047996230502993,0.38047996230502995,0.73047996230503,0.3350968360900879,1.7848361730575562,1.4497393369674683,2.3011093139648438,0.0591837540268898,0.22977344691753387,0.1259426325559616,70,benj_shoulderpress,benj
L,1,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.36523324251174927,1.6344941854476929,1.2692608833312988,2.4678425788879395,0.03818619251251221,0.18733669817447662,0.08392202109098434,75,jay_shoulderpress,jay
L,2,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.3296126127243042,1.6306750774383545,1.3010624647140503,2.1676993370056152,0.07096290588378906,0.1906690150499344,0.09961379319429398,66,jay_shoulderpress,jay
L,3,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.33719319105148315,1.546112060546875,1.208918809890747,1.9009056091308594,0.08851978927850723,0.1841970533132553,0.09963919967412949,58,jay_shoulderpress,jay
L,4,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.3547133505344391,1.667716383934021,1.3130030632019043,1.967604637145996,0.09602460265159607,0.21743744611740112,0.11049110442399979,60,jay_shoulderpress,jay
R,5,0.43218260564875,0.45218260564875,0.80218260564875,0.41931456327438354,1.7030560970306396,1.2837414741516113,2.1676998138427734,0.05305907502770424,0.23166346549987793,0.1126776933670044,66,jay_shoulderpress,jay
L,6,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.3444119095802307,1.6496293544769287,1.3052175045013428,1.8675556182861328,0.06363838911056519,0.19719190895557404,0.09022344648838043,57,jay_shoulderpress,jay
R,7,0.43218260564875,0.45218260564875,0.80218260564875,0.41496849060058594,1.7406119108200073,1.3256434202194214,1.767507553100586,0.021336274221539497,0.2647853493690491,0.13490398228168488,54,jay_shoulderpress,jay
L,8,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.355896532535553,1.6852498054504395,1.3293533325195312,1.834207534790039,0.04292796179652214,0.19328242540359497,0.10190807282924652,56,jay_shoulderpress,jay
L,9,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.34854260087013245,1.6544018983840942,1.3058593273162842,1.9342536926269531,0.04482448846101761,0.18884652853012085,0.09668610990047455,59,jay_shoulderpress,jay
L,10,0.3512388094241124,0.3712388094241124,0.7212388094241124,0.30930572748184204,1.6507623195648193,1.341456651687622,1.2339210510253906,0.03038514405488968,0.18451416492462158,0.0842503160238266,38,jay_shoulderpress,jay
L,1,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.2344849556684494,1.54342520236969,1.3089402914047241,1.43403959274292,0.7223766446113586,1.58573317527771,0.184737429022789,44,jeff_shoulderpress,jeff
L,2,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.2597811818122864,1.6280224323272705,1.368241310119629,1.4340391159057617,0.32677868008613586,1.4234352111816406,0.16510453820228577,44,jeff_shoulderpress,jeff
L,3,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.26312753558158875,1.5720051527023315,1.3088775873184204,1.367340087890625,0.16528502106666565,0.45180395245552063,0.1159537211060524,42,jeff_shoulderpress,jeff
L,4,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.2599940001964569,1.5495178699493408,1.2895238399505615,1.3006401062011719,0.11130774021148682,0.28893789649009705,0.07084616273641586,40,jeff_shoulderpress,jeff
L,5,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.25859227776527405,1.5502400398254395,1.2916477918624878,1.367340087890625,0.24725542962551117,0.7339144349098206,0.1476200968027115,42,jeff_shoulderpress,jeff
L,6,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.27147114276885986,1.6248894929885864,1.3534183502197266,1.3339900970458984,0.11617374420166016,0.37760648131370544,0.09692128747701645,41,jeff_shoulderpress,jeff
L,7,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.2292778044939041,1.7479195594787598,1.518641710281372,1.3339900970458984,0.22778917849063873,0.8480391502380371,0.14407064020633698,41,jeff_shoulderpress,jeff
L,8,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.25774145126342773,1.574692726135254,1.3169512748718262,1.3006410598754883,0.13537746667861938,0.3688913881778717,0.13596874475479126,40,jeff_shoulderpress,jeff
L,9,0.2526101140422412,0.2726101140422412,0.6226101140422412,0.26222696900367737,1.6150858402252197,1.3528589010238647,1.4673900604248047,0.3104005753993988,0.8410564661026001,0.1298435777425766,45,jeff_shoulderpress,jeff
