Timestamp,I hereby confirm that I am 18 years of age or older and voluntarily agree to participate in this study.  ,"I have read and understood the data privacy statement, including the provisions of RA 10173, and I consent to participate in this survey.",1. How would you describe your weightlifting experience? ,2. Have you previously used any form of posture correction assistance?  ,Bicep Curl [The system accurately detected my posture errors.],Bicep Curl [The feedback was clear and helpful.],Bicep Curl [The system responded quickly and reliably.],Bicep Curl [I trust the feedback and feel more confident using it.],Bicep Curl [The feedback did not distract me during the exercise.],Shoulder Press [The system accurately detected my posture errors.],Shoulder Press [The feedback was clear and helpful.],Shoulder Press [The system responded quickly and reliably.],Shoulder Press [I trust the feedback and feel more confident using it.],Shoulder Press [The feedback did not distract me during the exercise.],Lateral Raise [The system accurately detected my posture errors.],Lateral Raise [The feedback was clear and helpful.],Lateral Raise [The system responded quickly and reliably.],Lateral Raise [I trust the feedback and feel more confident using it.],Lateral Raise [The feedback did not distract me during the exercise.],Was LiftRight able to adjust its feedback according to your level of feedback? [The system continued to provide accurate feedback as I became more fatigued.],Was LiftRight able to adjust its feedback according to your level of feedback? [The feedback reflected changes in my posture during later repetitions.],Was LiftRight able to adjust its feedback according to your level of feedback? [The system helped me maintain proper form when I was getting tired.],Usability [The dashboard was easy to navigate.],Usability [The layout of the dashboard was clear and organized.],Usability [I was able to understand my performance results easily.],Usability [The information displayed was useful.],Learnability & Usefulness  [I could use the system without needing assistance.],Learnability & Usefulness  [The dashboard helped me identify my posture mistakes.],Learnability & Usefulness  [The system motivated me to improve my lifting form.],Learnability & Usefulness  [I would use this system during future workouts.], [I think that I would like to use this system frequently.], [I found the system unnecessarily complex.], [I thought the system was easy to use.], [I think that I would need the support of a technical person to use this system.], [I found the various functions in this system were well integrated.], [I thought there was too much inconsistency in this system.], [I would imagine that most people would learn to use this system very quickly.], [I found the system very cumbersome to use.], [I felt very confident using the system.], [I needed to learn a lot of things before I could get going with this system.],What did you like most about using the system?  ,What improvements would you suggest for future versions? ,"Did you notice any inaccuracies in the posture detection? If yes, please describe."
3/5/2026 12:57:00,Yes,Yes,Beginner with some guidance,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,1,It's easy to navigate. App serves its purpose really well. It will help you with your forms especially if you are a beginner. Feels premium too. ,None,None. Before workout it made sure that my movements are detected and calibrated 
3/5/2026 13:21:27,Yes,Yes,Complete beginner (0–3 months),No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Correcting your posture ,More program about fitness and highly research for nicely system for workout 💪 ,Nice using to correct the posture 
3/5/2026 14:55:25,Yes,Yes,almost 2 decades of liting experience,No,3,3,3,3,3,3,3,3,2,2,4,3,3,3,2,3,3,4,2,2,2,2,1,4,3,3,2,2,2,5,3,3,2,2,2,5,new and helpful,just needed someone to assist and help to explain what is happening,its fine
3/9/2026 22:11:36,Yes,Yes,Complete beginner (0–3 months),No,4,5,4,4,5,4,5,5,5,4,5,4,5,4,4,4,5,4,4,3,5,5,4,5,4,5,4,2,5,3,4,2,4,1,4,3,The system accurately detected my position and identifies what I did wrong during my exercise.,"The user interface could be a bit confusing for a complete beginner, but it looks generally okay and the system itself is useful in training.",None
3/10/2026 14:31:34,Yes,Yes,Complete beginner (0–3 months),No,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,3,2,5,3,4,2,3,2,4,2,I liked the efficiency and fast response of the model,To add more models so it can help more trainees to help them in their exercises that targets other muscle area.,None so far
3/10/2026 14:32:59,Yes,Yes,Beginner (3–6 months),Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Ease of use,More exercises,N/A
3/10/2026 16:38:44,Yes,Yes, 2 years,No,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,1,3,1,5,3,It’s easy to use,Adding more exercise,All good
3/10/2026 19:51:10,Yes,Yes,Complete beginner (0–3 months),No,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,5,1,4,1,5,1,5,3,The system's ability to identify my posture mistakes.,"none, LiftRight is great as it is.",None
3/12/2026 14:52:51,Yes,Yes,Beginner with some guidance,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Interactive,"None, It is good",None
3/12/2026 15:19:25,Yes,Yes,Complete beginner (0–3 months),No,4,4,2,5,5,4,4,2,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,4,4,5,2,3,2,The real-time back,A demo figure on somewhere part of the screen for beginners to follow,I cannot say so because I do not really know much about forms in gym
3/18/2026 12:33:56,Yes,Yes,Complete beginner (0–3 months),No,5,4,5,4,4,4,5,4,3,3,2,5,5,4,4,3,3,4,5,3,4,5,4,4,2,4,4,2,5,1,3,2,4,2,4,3,The feedback help,Be able to gauge weights being lifted,"Yes, I would do purposely wrong ways to do it that would still lead to a proper smooth rep"
3/18/2026 16:18:19,Yes,Yes,Beginner with some guidance,No,4,5,4,4,4,5,5,5,5,5,3,5,3,3,5,4,4,4,5,5,4,4,5,5,5,5,4,2,2,3,3,2,2,2,2,2,"the navigation, color palette",distance from the camera (too sensitive),yes. lateral raise is one of the most debatable forms in gym exercises. expert views on the form may vary
3/18/2026 20:12:14,Yes,Yes,Beginner with some guidance,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,1,The researcher,None,
3/18/2026 20:15:31,Yes,Yes,Beginner with some guidance,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,5,2,5,1,5,1,5,2,Ease of use and accessibility,None,None in particular
